planner,campus,track,size,inst_id,nwo,status,twt_recorded,twt_true,wall_s
rolling,9,storm,150,c09_storm_150_a300_c80_0000,150,rollcp2,0.0000,0.0000,0.666
rolling,9,storm,150,c09_storm_150_a300_c80_0001,150,rollcp2,308.0976,308.0976,21.961
rolling,9,storm,150,c09_storm_150_a300_c80_0002,150,rollcp2,275.5718,275.5718,0.579
rolling,9,storm,150,c09_storm_150_a300_c80_0003,150,rollcp2,53.7256,53.7256,0.500
rolling,9,storm,150,c09_storm_150_a300_c80_0004,150,rollcp2,11.8968,11.8968,0.548
rolling,9,storm,150,c09_storm_150_a300_c80_0005,150,rollcp2,0.0000,0.0000,0.476
rolling,9,storm,150,c09_storm_150_a300_c80_0006,150,rollcp2,0.0000,0.0000,0.680
rolling,9,storm,150,c09_storm_150_a300_c80_0007,150,rollcp2,147.8992,147.8992,0.520
rolling,9,storm,150,c09_storm_150_a300_c80_0008,150,rollcp2,267.8152,267.8152,3.893
rolling,9,storm,150,c09_storm_150_a300_c80_0009,150,rollcp2,0.0000,0.0000,0.803
rolling,9,storm,150,c09_storm_150_a300_c80_0010,150,rollcp2,48.4520,48.4520,0.586
rolling,9,storm,150,c09_storm_150_a300_c80_0011,150,rollcp2,51.2072,51.2072,0.723
rolling,9,storm,150,c09_storm_150_a300_c80_0012,150,rollcp2,70.8592,70.8592,40.418
rolling,9,storm,150,c09_storm_150_a300_c80_0013,150,rollcp2,0.0000,0.0000,0.763
rolling,9,storm,150,c09_storm_150_a300_c80_0014,150,rollcp2,0.0000,0.0000,1.266
rolling,9,storm,150,c09_storm_150_a300_c80_0015,150,rollcp2,0.0000,0.0000,0.781
rolling,9,storm,150,c09_storm_150_a300_c80_0016,150,rollcp2,222.0000,222.0000,0.958
rolling,9,storm,150,c09_storm_150_a300_c80_0017,150,rollcp2,61.3044,61.3044,0.520
rolling,9,storm,150,c09_storm_150_a300_c80_0018,150,rollcp2,157.3488,157.3488,0.584
rolling,9,storm,150,c09_storm_150_a300_c80_0019,150,rollcp2,0.0000,0.0000,0.714
rolling,12,storm,150,c12_storm_150_a300_c80_0000,150,rollcp2,308.2278,308.2278,6.862
rolling,12,storm,150,c12_storm_150_a300_c80_0001,150,rollcp2,46.3920,46.3920,19.557
rolling,12,storm,150,c12_storm_150_a300_c80_0002,150,rollcp2,940.3228,940.3228,40.124
rolling,12,storm,150,c12_storm_150_a300_c80_0003,150,rollcp2,172.7544,172.7544,0.754
rolling,12,storm,150,c12_storm_150_a300_c80_0004,150,rollcp2,410.3132,410.3132,0.872
rolling,12,storm,150,c12_storm_150_a300_c80_0005,150,rollcp2,435.9696,435.9696,1.102
rolling,12,storm,150,c12_storm_150_a300_c80_0006,150,rollcp2,1359.5284,1359.5284,10.936
rolling,12,storm,150,c12_storm_150_a300_c80_0007,150,rollcp2,210.8573,210.8573,0.604
rolling,12,storm,150,c12_storm_150_a300_c80_0008,150,rollcp2,149.1956,149.1956,23.799
rolling,12,storm,150,c12_storm_150_a300_c80_0009,150,rollcp2,79.6350,79.6350,23.396
rolling,12,storm,150,c12_storm_150_a300_c80_0010,150,rollcp2,360.1120,360.1120,0.668
rolling,12,storm,150,c12_storm_150_a300_c80_0011,150,rollcp2,317.4064,317.4064,1.275
rolling,12,storm,150,c12_storm_150_a300_c80_0012,150,rollcp2,86.6712,86.6712,0.837
rolling,12,storm,150,c12_storm_150_a300_c80_0013,150,rollcp2,49.4176,49.4176,0.639
rolling,12,storm,150,c12_storm_150_a300_c80_0014,150,rollcp2,135.9580,135.9580,6.455
rolling,12,storm,150,c12_storm_150_a300_c80_0015,150,rollcp2,369.2298,369.2298,2.186
rolling,12,storm,150,c12_storm_150_a300_c80_0016,150,rollcp2,423.7288,423.7288,0.644
rolling,12,storm,150,c12_storm_150_a300_c80_0017,150,rollcp2,190.5512,190.5512,0.491
rolling,12,storm,150,c12_storm_150_a300_c80_0018,150,rollcp2,99.4276,99.4276,80.939
rolling,12,storm,150,c12_storm_150_a300_c80_0019,150,rollcp2,151.4864,151.4864,0.973
static,9,pmmix,400,c09_pmmix_400_p20_c100_0000,400,OPTIMAL/OPTIMAL,665.4852,665.4852,1.329
static,9,pmmix,400,c09_pmmix_400_p20_c100_0001,400,OPTIMAL/OPTIMAL,333.9658,333.9658,1.426
static,9,pmmix,400,c09_pmmix_400_p20_c100_0002,400,OPTIMAL/OPTIMAL,569.1160,569.1160,1.454
static,9,pmmix,400,c09_pmmix_400_p20_c100_0003,400,OPTIMAL/OPTIMAL,230.3044,230.3044,1.674
static,9,pmmix,400,c09_pmmix_400_p20_c100_0004,400,OPTIMAL/OPTIMAL,429.6804,429.6804,1.471
static,9,pmmix,400,c09_pmmix_400_p20_c100_0005,400,OPTIMAL/OPTIMAL,908.8068,908.8068,1.457
static,9,pmmix,400,c09_pmmix_400_p20_c100_0006,400,OPTIMAL/OPTIMAL,626.6826,626.6826,1.726
static,9,pmmix,400,c09_pmmix_400_p20_c100_0007,400,OPTIMAL/OPTIMAL,534.8290,534.8290,1.551
static,9,pmmix,400,c09_pmmix_400_p20_c100_0008,400,OPTIMAL/OPTIMAL,233.5144,233.5144,1.718
static,9,pmmix,400,c09_pmmix_400_p20_c100_0009,400,OPTIMAL/OPTIMAL,612.3990,612.3990,1.645
static,9,pmmix,400,c09_pmmix_400_p20_c100_0010,400,OPTIMAL/OPTIMAL,505.0718,505.0718,1.962
static,9,pmmix,400,c09_pmmix_400_p20_c100_0011,400,OPTIMAL/OPTIMAL,334.2294,334.2294,1.306
static,9,pmmix,400,c09_pmmix_400_p20_c100_0012,400,OPTIMAL/OPTIMAL,412.2460,412.2460,1.230
static,9,pmmix,400,c09_pmmix_400_p20_c100_0013,400,OPTIMAL/OPTIMAL,230.4582,230.4582,1.390
static,9,pmmix,400,c09_pmmix_400_p20_c100_0014,400,OPTIMAL/OPTIMAL,709.3364,709.3364,0.896
static,9,pmmix,400,c09_pmmix_400_p20_c100_0015,400,OPTIMAL/OPTIMAL,240.2966,240.2966,1.474
static,9,pmmix,400,c09_pmmix_400_p20_c100_0016,400,OPTIMAL/OPTIMAL,513.3308,513.3308,1.352
static,9,pmmix,400,c09_pmmix_400_p20_c100_0017,400,OPTIMAL/OPTIMAL,684.9776,684.9776,1.542
static,9,pmmix,400,c09_pmmix_400_p20_c100_0018,400,OPTIMAL/OPTIMAL,310.4492,310.4492,1.389
static,9,pmmix,400,c09_pmmix_400_p20_c100_0019,400,OPTIMAL/OPTIMAL,851.5944,851.5944,1.293
static,9,storm,150,c09_storm_150_a300_c80_0000,150,OPTIMAL/OPTIMAL,0.0000,0.0000,0.395
static,9,storm,150,c09_storm_150_a300_c80_0001,150,OPTIMAL/OPTIMAL,308.0568,308.0568,0.243
static,9,storm,150,c09_storm_150_a300_c80_0002,150,OPTIMAL/OPTIMAL,275.6238,275.6238,0.298
static,9,storm,150,c09_storm_150_a300_c80_0003,150,OPTIMAL/OPTIMAL,53.7776,53.7776,0.314
static,9,storm,150,c09_storm_150_a300_c80_0004,150,OPTIMAL/OPTIMAL,11.9656,11.9656,0.275
static,9,storm,150,c09_storm_150_a300_c80_0005,150,OPTIMAL/OPTIMAL,0.0000,0.0000,0.269
static,9,storm,150,c09_storm_150_a300_c80_0006,150,OPTIMAL/OPTIMAL,0.0000,0.0000,0.336
static,9,storm,150,c09_storm_150_a300_c80_0007,150,OPTIMAL/OPTIMAL,147.8746,147.8746,0.356
static,9,storm,150,c09_storm_150_a300_c80_0008,150,OPTIMAL/OPTIMAL,267.9408,267.9408,0.217
static,9,storm,150,c09_storm_150_a300_c80_0009,150,OPTIMAL/OPTIMAL,0.0000,0.0000,0.250
static,9,storm,150,c09_storm_150_a300_c80_0010,150,OPTIMAL/OPTIMAL,48.4640,48.4640,0.271
static,9,storm,150,c09_storm_150_a300_c80_0011,150,OPTIMAL/OPTIMAL,51.2456,51.2456,0.224
static,9,storm,150,c09_storm_150_a300_c80_0012,150,OPTIMAL/OPTIMAL,70.9096,70.9096,0.293
static,9,storm,150,c09_storm_150_a300_c80_0013,150,OPTIMAL/OPTIMAL,0.0000,0.0000,0.216
static,9,storm,150,c09_storm_150_a300_c80_0014,150,OPTIMAL/OPTIMAL,0.0000,0.0000,0.267
static,9,storm,150,c09_storm_150_a300_c80_0015,150,OPTIMAL/OPTIMAL,0.0000,0.0000,0.239
static,9,storm,150,c09_storm_150_a300_c80_0016,150,OPTIMAL/OPTIMAL,222.0408,222.0408,0.352
static,9,storm,150,c09_storm_150_a300_c80_0017,150,OPTIMAL/OPTIMAL,61.2840,61.2840,0.305
static,9,storm,150,c09_storm_150_a300_c80_0018,150,OPTIMAL/OPTIMAL,157.4144,157.4144,0.273
static,9,storm,150,c09_storm_150_a300_c80_0019,150,OPTIMAL/OPTIMAL,0.0000,0.0000,0.200
static,9,storm,400,c09_storm_400_a200_c100_0000,400,OPTIMAL/OPTIMAL,128.1080,128.1080,1.727
static,9,storm,400,c09_storm_400_a200_c100_0001,400,OPTIMAL/OPTIMAL,31.0176,31.0176,1.157
static,9,storm,400,c09_storm_400_a200_c100_0002,400,OPTIMAL/OPTIMAL,18.5496,18.5496,1.573
static,9,storm,400,c09_storm_400_a200_c100_0003,400,OPTIMAL/OPTIMAL,9.7288,9.7288,1.388
static,9,storm,400,c09_storm_400_a200_c100_0004,400,OPTIMAL/OPTIMAL,151.8324,151.8324,1.424
static,9,storm,400,c09_storm_400_a200_c100_0005,400,OPTIMAL/OPTIMAL,256.7376,256.7376,1.016
static,9,storm,400,c09_storm_400_a200_c100_0006,400,OPTIMAL/OPTIMAL,597.4504,597.4504,1.148
static,9,storm,400,c09_storm_400_a200_c100_0007,400,OPTIMAL/OPTIMAL,307.7200,307.7200,1.517
static,9,storm,400,c09_storm_400_a200_c100_0008,400,OPTIMAL/OPTIMAL,461.4056,461.4056,1.571
static,9,storm,400,c09_storm_400_a200_c100_0009,400,OPTIMAL/OPTIMAL,291.1364,291.1364,1.240
static,9,storm,400,c09_storm_400_a200_c100_0010,400,OPTIMAL/OPTIMAL,220.9032,220.9032,1.624
static,9,storm,400,c09_storm_400_a200_c100_0011,400,OPTIMAL/OPTIMAL,278.8368,278.8368,1.395
static,9,storm,400,c09_storm_400_a200_c100_0012,400,OPTIMAL/OPTIMAL,16.7960,16.7960,1.431
static,9,storm,400,c09_storm_400_a200_c100_0013,400,OPTIMAL/OPTIMAL,0.0000,0.0000,1.630
static,9,storm,400,c09_storm_400_a200_c100_0014,400,OPTIMAL/OPTIMAL,45.5400,45.5400,1.286
static,9,storm,400,c09_storm_400_a200_c100_0015,400,OPTIMAL/OPTIMAL,10.3448,10.3448,1.193
static,9,storm,400,c09_storm_400_a200_c100_0016,400,OPTIMAL/OPTIMAL,12.3528,12.3528,1.598
static,9,storm,400,c09_storm_400_a200_c100_0017,400,OPTIMAL/OPTIMAL,15.9880,15.9880,1.043
static,9,storm,400,c09_storm_400_a200_c100_0018,400,OPTIMAL/OPTIMAL,15.8702,15.8702,1.050
static,9,storm,400,c09_storm_400_a200_c100_0019,400,OPTIMAL/OPTIMAL,33.4776,33.4776,1.232
static,12,pmmix,400,c12_pmmix_400_p20_c100_0000,400,OPTIMAL/OPTIMAL,927.2988,927.2988,1.924
static,12,pmmix,400,c12_pmmix_400_p20_c100_0001,400,OPTIMAL/OPTIMAL,930.7406,930.7406,5.075
static,12,pmmix,400,c12_pmmix_400_p20_c100_0002,400,OPTIMAL/OPTIMAL,207.1818,207.1818,2.331
static,12,pmmix,400,c12_pmmix_400_p20_c100_0003,400,OPTIMAL/OPTIMAL,1706.1484,1706.1484,4.828
static,12,pmmix,400,c12_pmmix_400_p20_c100_0004,400,OPTIMAL/OPTIMAL,581.9228,581.9228,1.902
static,12,pmmix,400,c12_pmmix_400_p20_c100_0005,400,OPTIMAL/OPTIMAL,816.0728,816.0728,1.898
static,12,pmmix,400,c12_pmmix_400_p20_c100_0006,400,OPTIMAL/OPTIMAL,713.8442,713.8442,2.293
static,12,pmmix,400,c12_pmmix_400_p20_c100_0007,400,OPTIMAL/OPTIMAL,2557.6712,2557.6712,2.134
static,12,pmmix,400,c12_pmmix_400_p20_c100_0008,400,OPTIMAL/OPTIMAL,590.1542,590.1542,2.226
static,12,pmmix,400,c12_pmmix_400_p20_c100_0009,400,OPTIMAL/OPTIMAL,1274.2290,1274.2290,2.327
static,12,pmmix,400,c12_pmmix_400_p20_c100_0010,400,OPTIMAL/OPTIMAL,1563.6423,1563.6423,6.012
static,12,pmmix,400,c12_pmmix_400_p20_c100_0011,400,OPTIMAL/OPTIMAL,986.3396,986.3396,2.229
static,12,pmmix,400,c12_pmmix_400_p20_c100_0012,400,OPTIMAL/OPTIMAL,819.7448,819.7448,2.088
static,12,pmmix,400,c12_pmmix_400_p20_c100_0013,400,OPTIMAL/OPTIMAL,973.1362,973.1362,5.593
static,12,pmmix,400,c12_pmmix_400_p20_c100_0014,400,OPTIMAL/OPTIMAL,856.7826,856.7826,1.970
static,12,pmmix,400,c12_pmmix_400_p20_c100_0015,400,OPTIMAL/OPTIMAL,754.4198,754.4198,1.906
static,12,pmmix,400,c12_pmmix_400_p20_c100_0016,400,OPTIMAL/OPTIMAL,712.1780,712.1780,1.808
static,12,pmmix,400,c12_pmmix_400_p20_c100_0017,400,OPTIMAL/OPTIMAL,1490.6182,1490.6182,3.191
static,12,pmmix,400,c12_pmmix_400_p20_c100_0018,400,OPTIMAL/OPTIMAL,794.2232,794.2232,2.082
static,12,pmmix,400,c12_pmmix_400_p20_c100_0019,400,OPTIMAL/OPTIMAL,1216.4260,1216.4260,1.828
static,12,storm,150,c12_storm_150_a300_c80_0000,150,OPTIMAL/OPTIMAL,308.3108,308.3108,0.528
static,12,storm,150,c12_storm_150_a300_c80_0001,150,OPTIMAL/OPTIMAL,46.4360,46.4360,0.404
static,12,storm,150,c12_storm_150_a300_c80_0002,150,OPTIMAL/OPTIMAL,940.4348,940.4348,0.444
static,12,storm,150,c12_storm_150_a300_c80_0003,150,OPTIMAL/OPTIMAL,172.7452,172.7452,0.487
static,12,storm,150,c12_storm_150_a300_c80_0004,150,OPTIMAL/OPTIMAL,410.3160,410.3160,0.332
static,12,storm,150,c12_storm_150_a300_c80_0005,150,OPTIMAL/OPTIMAL,436.0007,436.0007,0.417
static,12,storm,150,c12_storm_150_a300_c80_0006,150,OPTIMAL/OPTIMAL,1359.6024,1359.6024,0.412
static,12,storm,150,c12_storm_150_a300_c80_0007,150,OPTIMAL/OPTIMAL,210.1230,210.1230,0.391
static,12,storm,150,c12_storm_150_a300_c80_0008,150,OPTIMAL/OPTIMAL,149.1604,149.1604,0.345
static,12,storm,150,c12_storm_150_a300_c80_0009,150,OPTIMAL/OPTIMAL,79.6970,79.6970,0.522
static,12,storm,150,c12_storm_150_a300_c80_0010,150,OPTIMAL/OPTIMAL,360.1420,360.1420,0.520
static,12,storm,150,c12_storm_150_a300_c80_0011,150,OPTIMAL/OPTIMAL,317.4576,317.4576,0.409
static,12,storm,150,c12_storm_150_a300_c80_0012,150,OPTIMAL/OPTIMAL,86.7720,86.7720,0.835
static,12,storm,150,c12_storm_150_a300_c80_0013,150,OPTIMAL/OPTIMAL,49.4744,49.4744,0.428
static,12,storm,150,c12_storm_150_a300_c80_0014,150,OPTIMAL/OPTIMAL,135.9772,135.9772,0.340
static,12,storm,150,c12_storm_150_a300_c80_0015,150,OPTIMAL/OPTIMAL,369.2344,369.2344,0.436
static,12,storm,150,c12_storm_150_a300_c80_0016,150,OPTIMAL/OPTIMAL,423.6648,423.6648,0.428
static,12,storm,150,c12_storm_150_a300_c80_0017,150,OPTIMAL/OPTIMAL,190.5740,190.5740,0.471
static,12,storm,150,c12_storm_150_a300_c80_0018,150,OPTIMAL/OPTIMAL,99.4420,99.4420,0.421
static,12,storm,150,c12_storm_150_a300_c80_0019,150,OPTIMAL/OPTIMAL,151.5280,151.5280,0.496
static,12,storm,400,c12_storm_400_a200_c100_0000,400,OPTIMAL/OPTIMAL,871.9484,871.9484,7.172
static,12,storm,400,c12_storm_400_a200_c100_0001,400,OPTIMAL/OPTIMAL,1658.4090,1658.4090,6.196
static,12,storm,400,c12_storm_400_a200_c100_0002,400,OPTIMAL/OPTIMAL,459.7132,459.7132,6.216
static,12,storm,400,c12_storm_400_a200_c100_0003,400,OPTIMAL/OPTIMAL,1125.5912,1125.5912,4.898
static,12,storm,400,c12_storm_400_a200_c100_0004,400,OPTIMAL/OPTIMAL,1111.9908,1111.9908,2.115
static,12,storm,400,c12_storm_400_a200_c100_0005,400,OPTIMAL/OPTIMAL,633.0664,633.0664,4.398
static,12,storm,400,c12_storm_400_a200_c100_0006,400,OPTIMAL/OPTIMAL,781.5458,781.5458,6.442
static,12,storm,400,c12_storm_400_a200_c100_0007,400,OPTIMAL/OPTIMAL,673.2132,673.2132,3.657
static,12,storm,400,c12_storm_400_a200_c100_0008,400,OPTIMAL/OPTIMAL,1562.3410,1562.3410,6.085
static,12,storm,400,c12_storm_400_a200_c100_0009,400,OPTIMAL/OPTIMAL,639.5302,639.5302,4.295
static,12,storm,400,c12_storm_400_a200_c100_0010,400,OPTIMAL/OPTIMAL,1662.6454,1662.6454,5.568
static,12,storm,400,c12_storm_400_a200_c100_0011,400,OPTIMAL/OPTIMAL,1907.7394,1907.7394,8.625
static,12,storm,400,c12_storm_400_a200_c100_0012,400,OPTIMAL/OPTIMAL,1614.6622,1614.6622,6.911
static,12,storm,400,c12_storm_400_a200_c100_0013,400,OPTIMAL/OPTIMAL,1824.9734,1824.9734,5.805
static,12,storm,400,c12_storm_400_a200_c100_0014,400,OPTIMAL/OPTIMAL,922.4122,922.4122,3.678
static,12,storm,400,c12_storm_400_a200_c100_0015,400,OPTIMAL/OPTIMAL,781.8286,781.8286,7.895
static,12,storm,400,c12_storm_400_a200_c100_0016,400,OPTIMAL/OPTIMAL,728.9934,728.9934,6.079
static,12,storm,400,c12_storm_400_a200_c100_0017,400,OPTIMAL/OPTIMAL,963.4946,963.4946,2.313
static,12,storm,400,c12_storm_400_a200_c100_0018,400,OPTIMAL/OPTIMAL,1616.7290,1616.7290,7.018
static,12,storm,400,c12_storm_400_a200_c100_0019,400,OPTIMAL/OPTIMAL,817.0272,817.0272,2.393
